idx,DATA,Zona,Módulo,Código,Loc. Fina+Causa parada OU defeito API,Num,Duração,Carros,Comentário,O. T.,Desc_Zona,FAMÍLIA EQUIPAMENTO,Desc_Acc
1,20/01/2022,DCDD_Z2,P0CMBACCUS,EPV,Problema posição da trava,1,2.438,1.08,Cabide CAB0713: travado na saida do batent,,,12 - Transportador,DCDD_Z2 - P0CMBACCUS - Problema posição da trava
2,07/03/2022,DCDG_Z1,C2RBPOINT,AC2,APP supérieur à 10',1,20.593,11.77,troca do porta eletrodo ot 1031962189,,,4 - Pinças robô,DCDG_Z1 - C2RBPOINT - APP supérieur à 10'
3,14/03/2022,DCDD_Z2,P0DMBACCUS,EPV,Problema posição da trava,1,1.212,0.55,Cabide travando no percurso,,,12 - Transportador,DCDD_Z2 - P0DMBACCUS - Problema posição da trava
4,30/03/2022,DCDG_Z1,C2RBPOINT,L22,Controlador de fluxo,1,1.412,0.64,fluxo de agua baixo,,,4 - Pinças robô,DCDG_Z1 - C2RBPOINT - Controlador de fluxo
5,01/04/2022,DCDD_Z2,P0DMBACCUS,DF4,Cilindro fora de serviço,1,4.003,1.96,cabide travado batente 6,,,12 - Transportador,DCDD_Z2 - P0DMBACCUS - Cilindro fora de serviço
6,24/05/2022,DCDD_Z2,P0CMBACCUS,EQ1,Pb deslocamento suporte Nº suporte,2,4.177,1.22,cabide CAB620 travando no transportador,,,12 - Transportador,DCDD_Z2 - P0CMBACCUS - Pb deslocamento suporte Nº suporte
7,31/05/2022,DCDD_Z2,P0DMBACCUS,EQA,Pb mecânica içamento,1,3.223,1.16,limite de torque excedido,,,12 - Transportador,DCDD_Z2 - P0DMBACCUS - Pb mecânica içamento
8,06/06/2022,DCDD_Z2,P0DMBACCUS,EPV,Problema posição da trava,2,3.808,1.77,cabide CAB0620 travado,,,12 - Transportador,DCDD_Z2 - P0DMBACCUS - Problema posição da trava
9,07/06/2022,DCDG_Z1,H2RBPOINT,L22,Controlador de fluxo,1,13.993,6.77,Conexão de agua quebrada,,,4 - Pinças robô,DCDG_Z1 - H2RBPOINT - Controlador de fluxo
10,10/06/2022,DCDD_Z2,P0DMBACCUS,EPV,Problema posição da trava,1,2.257,0.99,Cabide CAB0620 travado apos carregamento,,,12 - Transportador,DCDD_Z2 - P0DMBACCUS - Problema posição da trava
11,17/06/2022,DCDG_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,1.985,0.87,defeito presenca de ferramenta,,,15 - Ilha (Sw: armário: instalação elétrica geral),DCDG_Z1 - B0RBMA_GO - Problema conectividade baie robot
12,22/06/2022,DCDG_Z2,P0DMBACCUS,EPV,Problema posição da trava,1,2.283,1.00,Cabide travado ,,,12 - Transportador,DCDG_Z2 - P0DMBACCUS - Problema posição da trava
13,05/07/2022,DCDG_Z1,D0RBMA_PT,F3B,Disjuntor chassi,1,96.805,44.04,Disjuntor Desarmado Ot  1032853241,,,6 - Robôs,DCDG_Z1 - D0RBMA_PT - Disjuntor chassi
14,05/07/2022,DCDG_Z1,E01MONAUTO,B08,Captador desregulado,1,3.572,1.63,Sensor solto,,,1 - Dispositivos,DCDG_Z1 - E01MONAUTO - Captador desregulado
15,07/07/2022,DCDG_Z1,E01MONAUTO,D22,Captor HS,2,5.923,2.60,Sensor danioficado por projeção de solda,,,1 - Dispositivos,DCDG_Z1 - E01MONAUTO - Captor HS
16,08/07/2022,DCDD_Z2,P0DMBACCUS,B6X,Suporte travado + Nº suporte,1,0.680,0.30,Cabide travado ,,,12 - Transportador,DCDD_Z2 - P0DMBACCUS - Suporte travado + Nº suporte
17,08/07/2022,DCDG_Z2,COM1,B0G,Mau posicionamento produto,2,0.572,0.25,Peça fora de posição Cabide 18,,,12 - Transportador,DCDG_Z2 - COM1 - Mau posicionamento produto
18,27/07/2022,DCDG_Z1,B0RBMA_GO,I1Z,Outra falha Movimento ferramenta,1,3.733,1.73,Falta de sinal de presença ferramenta,,,1 - Dispositivos,DCDG_Z1 - B0RBMA_GO - Outra falha Movimento ferramenta
19,28/07/2022,DCDD_Z1,B0RBMA_GO,LF2,Gerador pino HS,1,21.273,12.16,Pino tucker travado no receptor de cavilha,,,9 - Tucker,DCDD_Z1 - B0RBMA_GO - Gerador pino HS
20,02/08/2022,DCDG_Z1,B0RBMA_GO,F11,Problema conectividade,1,1.650,0.79,Falha no travamento da castanha,,,15 - Ilha (Sw: armário: instalação elétrica geral),DCDG_Z1 - B0RBMA_GO - Problema conectividade
21,03/08/2022,DCDG_Z1,H2RBPOINT,BD5,Colagem eletrodo + Nº pt,1,12.898,5.99,Coalgem de eletrodo após troca,,,3 - Trocadora de eletrodo,DCDG_Z1 - H2RBPOINT - Colagem eletrodo + Nº pt
22,04/08/2022,DCDG_Z1,B0RBMA_GO,L84,Pb castanha trocador,1,3.568,1.66,Falha na troca de ferramenta,,,1 - Dispositivos,DCDG_Z1 - B0RBMA_GO - Pb castanha trocador
23,08/08/2022,DCDG_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,0.908,0.42,Oscilação sinal COA trocador de ferramenta,,,15 - Ilha (Sw: armário: instalação elétrica geral),DCDG_Z1 - B0RBMA_GO - Problema conectividade baie robot
24,08/08/2022,DCDD_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,0.237,0.11,Oscilação sinal,,,15 - Ilha (Sw: armário: instalação elétrica geral),DCDD_Z1 - B0RBMA_GO - Problema conectividade baie robot
25,10/08/2022,DCDG_Z1,B0RBMA_GO,I1Z,Outra falha Movimento ferramenta,1,12.502,7.14,Falha no avanço da castanha OT  1033097132,,,15 - Ilha (Sw: armário: instalação elétrica geral),DCDG_Z1 - B0RBMA_GO - Outra falha Movimento ferramenta
26,12/08/2022,DCDG_Z1,H0PLATOUR,EW9,Problema de leitura,1,3.065,1.42,Falha de discordancia,,,20 - Outros,DCDG_Z1 - H0PLATOUR - Problema de leitura
27,15/08/2022,DCDG_Z1,B0RBMA_GO,BF1,Posicionamento robo / ferramenta,1,3.772,1.46,Oscilação sinais COA Nº1033095992,,,22 - Trocador de ferramentas,DCDG_Z1 - B0RBMA_GO - Posicionamento robo / ferramenta
28,15/08/2022,DCDD_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,0.033,0.01,Oscilação sinais  COA OT Nº1033142252,,,22 - Trocador de ferramentas,DCDD_Z1 - B0RBMA_GO - Problema conectividade baie robot
29,17/08/2022,DCDG_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,2.192,0.93,Falha sensor ferrmenta,,,22 - Trocador de ferramentas,DCDG_Z1 - B0RBMA_GO - Problema conectividade baie robot
30,19/08/2022,DCDG_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,1.615,0.64,Falha trocador de ferramenta,,,22 - Trocador de ferramentas,DCDG_Z1 - B0RBMA_GO - Problema conectividade baie robot
31,22/08/2022,DCDG_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,2.460,0.96,Falha trocador de ferramenta,,,22 - Trocador de ferramentas,DCDG_Z1 - B0RBMA_GO - Problema conectividade baie robot
32,22/08/2022,DCDG_Z1,B0RBMA_GO,I3Z,Outra falha Sensores,1,0.975,0.56,Realizado reset,,,1 - Dispositivos,DCDG_Z1 - B0RBMA_GO - Outra falha Sensores
33,22/08/2022,DCDD_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,0.577,0.23,Falha trocador de ferramentas,,,22 - Trocador de ferramentas,DCDD_Z1 - B0RBMA_GO - Problema conectividade baie robot
34,24/08/2022,DCDD_Z1,B0RBMA_GO,I3Z,Outra falha Sensores,1,3.465,1.35,Ajustado sensor castanha,,,1 - Dispositivos,DCDD_Z1 - B0RBMA_GO - Outra falha Sensores
35,24/08/2022,DCDG_Z2,P0DMBACCUS,E0E,Bloqueio mecânico indexador,1,0.605,0.35,Ajuste atuador,,,12 - Transportador,DCDG_Z2 - P0DMBACCUS - Bloqueio mecânico indexador
36,01/09/2022,DCDG_Z1,COM1,BCH,Pb temps de soudure  goujon,1,20.555,11.75,Falha de goujon OT  1033255974,,,9 - Tucker,DCDG_Z1 - COM1 - Pb temps de soudure  goujon
37,01/09/2022,DCDG_Z2,P0CMBACCUS,,Z2: P0C Defeito movimento Batente Posto 14,1,0.035,0.02,,,,12 - Transportador,DCDG_Z2 - P0CMBACCUS - Z2: P0C Defeito movimento Batente Posto 14
38,05/09/2022,DCDD_Z1,C01MONAUTO,DK3,Cilindro travado,3,8.493,3.30,Cilindro com passagem de ar,,,1 - Dispositivos,DCDD_Z1 - C01MONAUTO - Cilindro travado
39,05/09/2022,DCDG_Z1,E01MONAUTO,B41,Sujeira,1,4.745,1.84,Sensor com acumulo de carepa,,,20 - Outros,DCDG_Z1 - E01MONAUTO - Sujeira
40,05/09/2022,DCDG_Z1,B0RBMA_GO,F11,Problema conectividade,1,2.930,1.14,Falha trocador de ferramenta (HHA),,,22 - Trocador de ferramentas,DCDG_Z1 - B0RBMA_GO - Problema conectividade
41,06/09/2022,DCDD_Z1,C01MONAUTO,DF3,Cilindro travado,1,2.693,1.15,Cilindro com passagem de ar OT1033295704,,,1 - Dispositivos,DCDD_Z1 - C01MONAUTO - Cilindro travado
42,14/09/2022,DCDD_Z1,B0RBMA_GO,LFZ,Outra parada gerador pino,2,2.220,0.86,falha no envio de pino,,,1 - Dispositivos,DCDD_Z1 - B0RBMA_GO - Outra parada gerador pino
43,20/09/2022,DCDG_Z2,P0DMBACCUS,B6X,Suporte travado + Nº suporte,1,16.392,9.37,Cabide travado pós carregamento 1033402124,,,12 - Transportador,DCDG_Z2 - P0DMBACCUS - Suporte travado + Nº suporte
44,21/09/2022,DCDD_Z1,K0MONMANU,I3Z,Outra falha Sensores,1,18.487,10.56,Falha no sensor SICK.,,,15 - Ilha (Sw: armário: instalação elétrica geral),DCDD_Z1 - K0MONMANU - Outra falha Sensores
45,21/09/2022,DCDG_Z1,H0PLATOUR,OV2,Pb discordância registro controle,1,1.648,0.74,Discordancia no ponto de recalege,,,15 - Ilha (Sw: armário: instalação elétrica geral),DCDG_Z1 - H0PLATOUR - Pb discordância registro controle
46,27/09/2022,DCDD_Z1,B0RBMA_GO,F01,Problema conectividade baie robot,1,3.653,1.63,falha trocador de ferramenta,,,15 - Ilha (Sw: armário: instalação elétrica geral),DCDD_Z1 - B0RBMA_GO - Problema conectividade baie robot
47,27/09/2022,DCDD_Z1,C01MONAUTO,G12,Estrutura / suporte Deformado,1,1.077,0.48,problema com o cilindro pneumatico,,,1 - Dispositivos,DCDD_Z1 - C01MONAUTO - Estrutura / suporte Deformado
48,28/09/2022,DCDG_Z2,P0DMBACCUS,EPV,Problema posição da trava,1,24.307,10.86,Cabide 21 travado após carregamento,,,12 - Transportador,DCDG_Z2 - P0DMBACCUS - Problema posição da trava
49,29/09/2022,DCDG_Z2,P0CMBACCUS,EPV,Problema posição da trava,2,6.245,2.79,Cabides travando ,,,12 - Transportador,DCDG_Z2 - P0CMBACCUS - Problema posição da trava
50,04/10/2022,DCDG_Z2,P0DMBACCUS,S81,Falha travamento suporte,2,29.603,16.92,Suporte 716 travado.,,,12 - Transportador,DCDG_Z2 - P0DMBACCUS - Falha travamento suporte
51,04/10/2022,DCDG_Z2,P0DMBACCUS,EPV,Problema posição da trava,1,18.933,8.46,Cabide Cab0711 travado OT 1033505405,,,12 - Transportador,DCDG_Z2 - P0DMBACCUS - Problema posição da trava
52,10/10/2022,DCDG_Z2,P0DMBACCUS,EPV,Problema posição da trava,1,18.602,8.47,Cabide travado OT Nº1033555771,,,12 - Transportador,DCDG_Z2 - P0DMBACCUS - Problema posição da trava
53,10/11/2022,DCDD_Z2,P0CMBACCUS,E0E,Bloqueio mecânico indexador,1,1.383,0.79,falha de index,,,12 - Transportador,DCDD_Z2 - P0CMBACCUS - Bloqueio mecânico indexador
